                          REPORTE DE INFRACTORES DE TRANSITO
===================================================================================
DNI       INFRACTOR                                                    PLACA
-----------------------------------------------------------------------------------
12270502  Zegarra_Pena_Carmela                                         P7T-999  
12443643  Zavaleta_Vilca_Ericka_Eleonor                                R8H-409  
12858682  Zavaleta_Coronado_Felicita_Eloisa                            T5L-371  
13219606  Zarate_Perez_Alexander                                       M2Q-712  
13628871  Zamora_Zavaleta_Ronal_Manuel                                 F3E-797  
15029228  Yep_Preciado_Richard                                         C0P-895  
15115705  Wong_Maeireizo_Beatriz                                       Y5F-449  
15559308  Vizcarra_Montero_Jair                                        X6O-905  
16136330  Vizcarra_Carbajal_Ivan_Fausto                                E3U-231  
16477908  Vizcardo_Sinche_Maribel                                      W7C-957  
16925690  Vilcara_Yallico_Magali                                       F3F-478  
19568447  Vilca_Lee_Nestor_Hugo                                        T5L-371  
19963454  Vega_Vilcara_Carmela_Teresa                                  H8A-390  
21621497  Vega_Soria_Henrry                                            R5I-860  
24859596  Valverde_Maeireizo_Melvin_Jair                               A8P-118  
25518120  Valderrama_Berrocal_Evert                                    U1X-768  
26522329  Trigueros_Portugal_Arturo_Fausto                             W7R-114  
27185429  Trigueros_Jugo_Luz                                           U3F-754  
27268323  Tokeshi_Guevara_Jaime                                        J0Q-121  
27864822  Tang_Moscoso_Johana                                          R5C-239  
28820944  Sueldo_Sedano_Adria                                          H2K-127  
29833157  Sueldo_Antezano_Luis_Jesus                                   S2N-896  
29989682  Suarez_Chang_Gloria                                          B1J-773  
30046639  Solis_Narvaez_Maria_Madeleine                                S3F-021  
30441350  Solis_Chung_Rolando                                          M9Z-497  
31107104  Serrano_Iberos_Francisco                                     O3T-110  
31205866  Sedano_Retamoso_Elia_Yolanda                                 R7N-113  
32090869  Sanchez_Del_Castillo_Fiorella_Rosario                        L4B-291  
32244565  Salamanca_Vega_Virginia_Martha                               J1E-736  
34248357  Salamanca_Cabrera_Nestor_Evert                               S5E-231  
34976629  Saavedra_Gonzales_Wilmer                                     I0Y-720  
35297848  Ruiz_Zevallos_Walter_Rony                                    O7D-970  
35671623  Rondon_Cabrera_Alexander_Adolfo                              V4E-749  
35683701  Rodriguez_Moreno_Blanca_Ofelia                               D5W-953  
35912665  Rivero_Cortez_Wilver_Alfonso                                 A6E-125  
36079131  Rivero_Coronado_Hector_Alonso                                I0W-872  
37080813  Rios_Zamora_Ines                                             O9W-355  
38862473  Rios_Durand_Carlos_Edilberto                                 S6Y-726  
39244942  Retamoso_Salamanca_Delia_Maritza                             S3D-133  
39544560  Ramirez_Astete_Karina_Estefania                              N4J-043  
42956681  Raffo_Coronado_Rolando                                       E0L-862  
43454884  Quiroga_Hernandez_Silvana_Zkenia                             P6Z-734  
